No,reviewers_name,reviwers_rating,reviwers_title,reviewers_text,
11,Vartiainen,4,"Angelina Jolie is magnificent, but that's about it","I'm still not convinced that this movie needs to exist. It's a new take on the beloved Disney classic, which in turn is inspired by a tale of the same name by The Brothers Grimm. So yes, it's an adaptation based on an adaptation, but it's not really good or new enough to fully warrant its existence. That being said, it's not a bad film, actually, and I had fun watching it.The best thing about this film, by far, is the performance and sheer charisma of Angelina Jolie. She's the perfect fit for the role of Maleficent and in every scene you can see that she's having a blast with it. Pretty much the only scenes she doesn't absolutely sell are the ones where she has to be really loud and bombastic, but the rest are pure gold. The rest of the cast is good, though nothing special. Elle Fanning as Aurora is a fitting casting, though for a princess blessed with beauty beyond all measure she's perhaps a tad plain. But that's me nitpicking, and she's a pretty girl by any measure. Sharlto Copley is also a great deal of fun as King Stefan. Some people have complained that his accent is distracting, but I didn't really mind.The film also looks amazing. Some of the CGI looks a bit rubbery, especially in closeups, but most of it is very impressive and especially the backgrounds are breathtaking - fitting, because the original Sleeping Beauty by Disney was also known for its background art. Maleficent has its good sides. Jolie's performance is a joy to witness and the story, while a bit naivé and predictable, will keep you entertained. The characters aren't the film's strongest point, but none of them are offensively bad. It also looks great. Recommended if you're a fan of Jolie or are just looking for a good popcorn fairytale.",
12,freemantle_uk,3,An Underwhelming Fantasy Experience,"Dark version of popular fairy tales has become filmmaking idea, with films like Alice in Wonderland, Snow White and the Huntsman and Oz: The Great and Powerful being bit hits. Disney has now made a live-action version of Sleepy Beauty, focusing the villain Maleficent. Angelica Jolie takes on the title role: the producers begged her to play Maleficent and she was the best feature of this fantasy film. She gave a committed performance and was best at bringing out the fiery fury of Maleficent. The best scene in the film was the Christening scene when Maleficent wants revenges against the main that betrayed her and King Stefan (played by District 9's Sharlto Copley) begging her not to curse his new born daughter, giving his character some depth. Robert Stromberg, the production designer of films likes Avatar and Oz and the Great and Powerful makes his directional debut and it shows. The costumes, particularly of the army and the castle set design is excellent and Oscar worthy, but the CGI is sub-par for a big budget fantasy film and the creature designs were downright terrible. Stromberg and writer Linda Woolverton were taking an approach of being a dark fantasy and mixing in annoying comedy shtick by the three pixies who are totally hopeless. The action was solid enough but it affected by a strange zoom effect which annoying and out of place. Maleficent was an underwhelming experience that wasted potential with an under written plot and characters and poor direction. A real disappointment.",
13,strong-122-478885,3,"Oh! No! Not Another Stupid New Twist On ""True Love's"" Kiss!??",,"You know, when our treacherous lover-boy, Stephan cut off Maleficent's massive wings (which was certainly no small undertaking), I sure wish that he had also hacked off those damn annoying antlers... I mean, horns of hers, as well. Those 2 blasted things protruding out of her head really began to bug me, big-time."
14,jadepietro,3,Witchy Woman,This film is not recommended. Maleficent is an act of malfeasance that creates much injury to the good memory of the Charles Perrault folk tale. The film is waste of your time and the artisans involved. The only happily-ever-after feeling I had was exiting the theater. GRADE: C-,
15,MartianOctocretr5,4,Lots of noise; unimpressive take on this old story,"Special effects are impressive, but always overdone. Every battle looks like something George Lucas and Michael Bay came up with when they got drunk together one night. Acting is poor throughout, and the director's heavy-handed approach is loud but never interesting. This movie tries hard to impress you with smoke and mirrors, but does not succeed.",
16,michaeltrivedi,3,Fun Watch Actually,"Maleficent was a fun watch surprisingly. I actually worked at Paramount Studios at the time, and got to watch it on their special movie theater screen on the lot. It was actually quite a spooky film, but made for kids which was nice. I would recommend a quick viewing if it's on some random night. The effects are pretty cool.",
17,thekarmicnomad,3,Very pretty but oh so stupid.,"This is an attempt at giving Sleeping Beauty the 'Wicked' treatment. Tries, and fails dismally. Small children will be entertained by the graphics, adults will be dumb founded by the unnecessary moronic story. I was left wondering - given the 'true' turn of events - who is propagating the version of Sleeping Beauty we all know anyway?",
18,RforFilm,4,A good performance and some nice imagery can't save Maleficent from a poor script and unconvincing CGI,"Taking the eye candy CGI out of the picture, how's the full story? Though it's not the worst, this is just a bland fairy tale that's meant for children only (or those just looking for a fairy tale), giving pretty imagery and uninteresting characters. Why couldn't Maleficent had focused on the political aspects of the fairy and human kingdoms. Had it gone with that route, we might have gotten material that rivals Game of Thrones. But as it is, this is a popcorn fantasy only for those that aren't looking for anything meaty. I'll give this two Maleficent from Sleeping Beauty out of five. It didn't do me any bit except for some nice imagery, but I'm sure there is a large audience that will make this a hit. I'll stick with Sleeping Beauty myself, thank you.",
19,jessegehrig,2,"Rub one out the right way, use your hands","The purpose of writing, specifically when it concerns a movie's screenplay, is to tell a story through characters, dialog and setting. This movie started out with one screenplay but ended production with another screenplay--that or Maleficent's screenplay was doomed from the start. This is Angelina Jolie masturbating to herself for like two hours, but not in a good way like say for instance two hours of watching Angelina rub one out, it's two hours of Angelina masturbating to herself using sets, and CGI, and costumes, and actors, and a film director, and a screenwriter, and a production company, and a movie studio, instead of just using the fingers God gave her.",
20,DarthVoorhees,4,"The worst kind of Disney film, the kind that condescendingly talks down to kids",It's truly a shame 'Maleficent' is a failure because stories like this are beneficial to children. I like the idea of these supposed warped fairy tales because they show kids that labels are harmful and to look for the positive qualities in all people. 'Maleficent' is more like the harmful Disney tales of past which perpetuate negative world views through easy thematic choices and images of over theatrical beautiful people and ugly villains. 'Maleficent' needed to not necessarily go darker but deeper and find a dramatic arc in the title character. It's really just Angelina Jolie playing fairy tale dress up with action sequences stolen verbatim from better fantasy films.,
21,mahmus,4,A bad movie with some things going for it,"Angelina Jolie and Elle Fanning do their best, but this is just an unnecessary and at times insulting reimagining of the original classic.",
22,SquigglyCrunch,3,A Bad Spin-Off That Tries to Humanize a Villain Without Giving them any Developmental Scenes,"Maleficent is a spin-off of the Disney classic 'Sleeping Beauty'. It follows the main villain in an attempt to modernize the entire story. The main goal of the movie appeared to be to humanize the villain, Maleficent. However, the best time to humanize this character was right at the beginning, and it's idea of 'trying' was narrating a generic back story for the character without giving her any dialogue or lines or anything that would make the audience relate to her. The narrator simply told us her characteristics, and that was that. Nobody hears a narrator say ""She was kind"" and thinks ""Oh yeah, I relate to that"". You have to see that kindness on screen the fully understand and relate to it, and there was none of that. So that didn't work, but maybe the rest of the movie is good, after all it is Sleeping Beauty. Other than the rest of the characters, all of whom are bland and uninteresting, the acting was sub-par at best. They were completely over-acted which, again, makes it hard to relate to the characters. The special effects were on and off. Sometimes they were good, sometimes they were terrible, mostly being the latter. And in a movie all about fantasy and magic and basically revolving around CGI, that isn't really a good thing. One thing that I got a kick out of though were the action scenes. They were terrible, mind you, but they were terrible in a funny way. In every single action scene the camera would focus on a character, then quickly zoom in on their face after a moment of hesitation, and it was hilarious. It was like this were a video game where the player was looking for something and they suddenly spotted it, at which point their vision zooms in to get a better idea of what they're looking at. Maybe that doesn't make sense, but you'll know it when you see it. It's so bad, yet it's so funny. Overall Maleficent just sucks. It's just a bad movie. It's kind of funny, but for all the wrong reasons. The characters are so bland robots could've played them and nothing would've changed. The CGI is usually bad, the humanizing attempt was both clear and bad, and the action was downright awful. In the end I suggest you leave this one on the shelf, whatever shelf that may be, and watch something else.",
23,sbweightman,3,Mediocre rather than special,"Mediocre rather than special - this is still a very twee interpretation of the story which skips along at a fair pace and leaves a lot of the characters underdeveloped. Top special effects, but the acting is unremarkable and the film seems to focus on style rather than substance.",
24,TheSquiss,4,"Dull, twee fairy tale adaptation saved only by production design & Jolie's sexy, withering villainess.","Think you know the story of Sleeping Beauty? Think again. At least, that's the intention of Robert Stromberg's directorial debut, Maleficent.

The double Oscar-wining production designer (of Avatar and Alice in Wonderland) cherry-picks from Charles Perrault's original story, La Belle au Bois Dormant, and Disney's subsequent bastardization, gives a backstory to the malignant fairy that cursed the newborn Princess Aurora and then changes Well, you'll just have to see for yourself.

Stromberg's intention is good, the production design is mostly superb and he's landed himself a fantastic leading lady in Angelina Jolie as the deliciously evil Maleficent. Top marks so far. The second official trailer (ignore the third, 'let's show everything' trailer) enticed me so much that I overturned my initial reticence and took a punt. The use of Lana Del Rey's reimagining of Once Upon A Dream from the 1959 Disney film as the trailer's score is wonderfully haunting and chills the spine. So why is it squandered on the final credits of the full film when 98% of the audience has departed with joy in their hearts?

And so it is with Maleficent.

It begins with an unforgivable and horrendous narration that goes on and on patronizingly, annoyingly, endlessly and is then relied upon frequently when Stromberg has run out of ideas to tell his story. Not even the talent of Janet McTeer can make the narration palatable. If boredom set in early, relief when actors upon the screen took up the story was short-lived. How, with a budget on this scale (about $180m) is it not possible to find two child actors to play the young Maleficent and Stefan who can actually act?

And the poor performances don't stop with the children, although to be fair to Elle Fanning, a more than capable actress, one of the gifts bestowed upon her Aurora at birth is perpetual happiness even in the face of adversity. What a pity Stromberg directs her to grin inanely at everything around her. The effect is not the beautiful, heartwarming child we should all fall for and want to protect but a horribly, painfully, artificially happy moron for whom a curse-induced coma cannot arrive quickly enough.

As for Brenton Thwaites (Prince Philip, the Prince Charming character), his performance is so shockingly stilted he appears to have an entire tribe of broomsticks bound together and rammed up his ass.

Sharlto Copley plays Aurora's father, King Stefan, with a certain melodramatic flare, but we've to come expect that from him and it works perfectly here. It also serves to differ his reign from that of the former monarch, King Henry, played with panache by British stalwart Kenneth Cranham.

There is light relief from the trio of fairies (Imelda Staunton, Lesley Manville and Juno Temple) but the occasional, weak attempt at slapstick that usually involves them only serves to diminish the impact that Maleficent should have.

The sets are beautiful and the effects mostly spectacular, bar the occasional oversight like the wolf, which is clunky enough to be the brother of Harry Potter's, Fluffy. The walls that clatter apart in Maleficent's wake are fantastic, and the incidental fauna and flora are reminiscent of all that was good about Avatar and, to a certain degree, Oz the Great and Powerful, another of Stromberg's production design triumphs.

Principally, Stromberg has failed on two counts: 1. He hasn't realized that great children's films (and books) enthrall adults just as much, on their own level and 2. He fails to enthrall the children. Stromberg does; not Angelina Jolie.

And so, along with the production design, we come to the reason Maleficent earns four stars instead of just one: Angelina Jolie.

But for Jolie Maleficent would be a tedious, dull, twee and horrible experience. Like Charlize Theron in Snow White and the Huntsman, she inhabits her villainess with a cold, vicious, prickly evil that is sexy, sassy and exciting. With a cold, crisp English accent, she frosts the atmosphere and crushes her opponents with a withering stare before unleashing her magical fury. Frequently Stromberg cuts to an ECU of her eyes, beautifully lit to accentuate her fantastically sharpened cheekbones and concentrate the power of her eyes. It is here that Stromberg succeeds. And it is Angeline Jolie who saves him.

If I should ever suffer death by fairytale, please don't let it be from boredom caused by an inept director; let it be at the hand of the Angelina Jolie's Maleficent.",
25,judywalker2,4,Big miss for Disney,"This movie was a big miss for Disney and I'm really shocked after how well they did with Frozen. I heard this movie had its problems but I never expected something so boring. Yes Jolie looks great in the makeup for the older Maleficient but her standing there with big gigantic wings (when I saw them in the trailers I knew the movie was in trouble) she looked really stupid. The other fairies, well they look like fairies. Now they act like the three Stooges but at least they look like fairies; she looked like a vampire from Underworld. The actor who played King Stephon was terrible, every time I heard his voice I just wanted to cringe. The story lacked imagination the ending was just dumb. Snow White and the Huntsman and this movie both have the same problem; one great actor/actress and no plot. Too bad.",
26,ArchonCinemaReviews,2,Sloppy plot produces flimsy fairy tale,"Maleficent attempts to tell an old story anew but all it does is completely redefine the title character's personality without taking the time to create a feasible explanation and alternative to the well known fairytale.

In Disney's new Maleficent we first see Maleficent as a young girl with magnificent wings. She is the largest fairy and protector of the magical Moors from the greedy humans in another nearby kingdom. She meets a human Stefan who befriends her and she eventually falls in love with him only to be betrayed by his selfish and sinful human-nature.

This is the new and unknown back-story that motivates the Maleficent we know from the animated Disney narrative.

Children will enjoy this movie. It is beautifully designed and full of wonderful scenery with magical creatures and talking trees! Disney plays into the innocence of children and fascination they have for nature and capitalize on it. There is the darkness of a discernible villain and the light of a righteous hero.

Adults and fans of the fairy tale will be disappointed. The film is drawn out because no story progresses nor evolution occurs within Maleficent. The plot is flimsy, weak and completely inconsistent with the narrative and poorly conceptualized. Nothing makes any sense and the title character's behavior is neither explained with a back-story nor revealed as a sad misunderstanding.

The writers try to make you believe that Maleficent endured the ultimate betrayal, and by her closest most trusted loved one. There is absolutely no proof of this with the exception of a fabulously believable freak out by Angelina Jolie when she awakens to find herself mutilated. No wonderful love story involving the future king Stefan is shown and the first five minutes should only exist on the editing room floor.

There is a nice sentiment behind the maker's intentions but the entire story is unrefined, like a first draft. Director Robert Stromberg is new and it shows. He lacks the confidence, ability and experience to take the initiative and lead the story. The writer, Linda Woolverton, is most at fault in her creation of a feeble, unconvincing and baseless story.

Executives should have used some of their $180million dollar budget on consulting with Gregory Maguire. Then there would be an intelligent, logical but beautiful plot and Woolverton could do what she does best, create a screenplay to match.

Now for the worst party of the film, the fairy god mothers. Oh dear lord, what have they done to the fairy godmothers? They are flighty, imbecilic, self-absorbed, twits! Since the story is so moronic the fairy involvement in raising Aurora is explained with an impractical sentence, as is most of the film. Then they spend the whole 16 years they are supposedly watching Aurora by complaining about its inconvenience and arguing like the three stooges.

Elle Fanning is not the enchanting Aurora and her Aurora is annoyingly cloying. They try to make it seem like this profound love exists for Aurora from Maleficent.

Angelina Jolie looks like Maleficent. She has the stature, the prowess, the harsh beauty and the outfit but little else. Sadly she never really acts and her accent is slacking, she just stands and glares; I never sense malice, anger, love, betrayal, or anything for that matter and certainly not ominous villainous evil. I am supposed to believe she has a quiet strength from her power? No.

I'm guessing Stromberg was taken by her beauty and celebrity, and thought that sufficient.

With a flimsy story, bad acting and a complete disregard for the story's structure, the whole thing is preposterous. Is creating a harmonious rational account where a fairy turns evil really that difficult? Or did executives hope that nobody would notice behind the cloak of the Disney/Jolie name.

I never felt anything watching this movie, especially considering the immense power a Disney movie can have. Nope, no hope, no love, no care, no warmth – I honestly never felt a single emotion for the whole shebang except for when the credits rolled.",
27,daisukereds,1,One of the worst movies I've ever seen.,"I'm surprised at how ANYONE could take a simple fairy tale movie from 1959 and ruin the story so badly. Watched them back-to-back. It's fine when someone wants to take something and make a different take of it. But what is the point of this? Ruin all characters, even Maleficent herself?? The fairies are not caring, but hateful and dumb! The prince is useless and their meeting lacks any emotion.. Originally, their meeting in the forest by singing as if a dream come true is one of the best scenes of the original. In a few lines you understand her frustration, and the prince's awe at her beauty! Also, the prince Philip is at the end for some reason. He ""felt"" he needed to be there, but does nothing, and the feelings between them don't exist.

The King trusts 3 fairies he has never seen with his newborn daughter for 16 years! He even calls them idiots when Aurora is back. Granted, this version of the King is an idiot himself in every level. A man that found love at a young age, but for NO reason (aside from being ""a man"", whom are ALL greedy by nature, according to this) left because he wanted more, even though he never had anything and should've had it all in Maleficent.

Compared to the original, there are more scenes of unknown men being trashed around by CGI than real characters and real plot.

The great feeling I had after the original was washed away by the disgust caused by this unnecessary piece of Garbage!!",
28,TheMarwood,4,Generic and dull Disney fare,"This charmless fairytale is a brisk 88 minutes (9 minutes of end credits bring this to 97 minutes) and it's played so safe and rendered so generic and accessible, that it feels like a product more than a film.

With first time director Robert Stromberg's background in visual effects and digital production design, he seems ill equipped to flesh out the narrative and get consistent performances from his cast. Were the actors even directed? They all seem left to their own devices - Jolie is genuinely creepy in some scenes, hammy in others, sometimes just posing for the camera and occasionally lost in front of a green screen. Sharlto Copley over acts. The three fairies are grating. Elle Fanning has a nice smile plastered to her face, but the script requires little else from her.

The vfx are a mixed bag, as the environment work is mostly well done, but some creature work is shoddy, the fairies are terrible and a few shots of an entirely CG Jolie in action is lazy and cheap looking.

Maleficent just coasts by on the established mythology of the title character and is a hack job of connect the dots poor writing, uneven acting, no vision from the first time director and manages to bore even at its abbreviated length.",
29,bob_bear,1,In a word...crap!,"Well, that's 90 minutes of my life I'll never get back. Angelina Jolie does her best impression of sucking a lemon as she wanders aimlessly through a plot written on the back of a fag packet. The End.

Oh, but IMDb requires more. Okay, so I wanted to put the princess to sleep permanently - with a hatchet! Talk about saccharine performance! All the secondary characters are pants. Absolutely no explanation as to why King Stefan betrayed his childhood sweetheart. For the crown? Just like a man then...er NOT!

Utterly built around the lead actress. No one else to compete. And she's not all that. Not even close.

In a word...crap!",
30,deacon_blues-3,4,"One prolonged, mammoth fit of PMS!","They should have entitled this film ""Revenge of the PC PMS."" It was not enough for the scriptwriters to butcher the original fairy tale into something foreign and unrecognizable, but they also displayed the unmitigated hubris to offer this version as the ""real story!"" What a load!

This film is moronic from the start, applying the undeniably evil name ""Maleficent"" to the original fairy character before she had even done anything wicked. This is a puzzle whose only answer is either ignorance or a lack of attention to detail. The name ""Maleficent"" is clearly a character description of someone who is both malicious and magnificently powerful. But I suppose such a level of understanding was considered beyond the intelligence of the target audience for this film.

Set aside the whole tired and annoying insistence on an earth-spirit, new-age reinterpretation of everything from the original classic story, this Maleficent is a loving innocent little fairy (although she has decidedly demonic horns and bat-like horned wings!) who is jilted by some little jerk named Stephen whom she meets first as a jewel thief. Surprise! The little bandit leads her on and eventually amputates her wings to impress the human king, thus securing the throne for himself. Rather than realize that he was not worth all the trouble anyway and getting on with her life, Maleficent goes into a prolonged hissy-fit and becomes bent on making everyone else as miserable as she is. Why she did not merely use her obviously prodigious magical powers (turning a crow into a man, a wolf, a horse, and finally a dragon, plus growing a giant wall of brambles (to protect her territory, not to keep the hero prince out of the castle where the beauty sleeps, as in the original) to just give herself a new pair of wings and move on with her life, I cannot begin to fathom.

Also, someone should have told the scriptwriters that iron is a common, naturally occurring element that Maleficent would have unavoidably encountered constantly in her own realm. Instead, we have this nonsensically applied ""iron allergy"" throughout the film whenever the writers' whim finds it useful to their tortured excuse for a story. Obviously this is intended as a metaphor for the evil of human weapons and warfare, which of course is so foreign to the pure, gentle, loving nature spirits. Another load of PC environmentalist nonsense.

Another inconsistency is that, as in the original, the third pixie is interrupted before she is able to bestow her blessing upon the newborn princess. In the classic film, this becomes the saving grace of the story, allowing the third pixie give her the hope of being awakened by the kiss of a hero prince. But in this tortured, convoluted version, the third blessing just goes undone, which makes no sense. Why interrupt the third pixie if you're not going to use it as an essential element to drive the story? This is just poor storytelling, period.

Then we have the silly, interminably drawn-out narrative of how the conflicted sorceress enters into a prolonged love-hate relationship with the princess. Maleficent ends up doing all the providing and protecting that the inept trio of pixies are seemingly incapable of. In the crucial ""true love's kiss"" scene, the handsome prince is useless, and it is Maleficent herself who delivers the needed wakeup call. I half expected the soundtrack to break out into a chorus of ""I Kissed a Girl"" in glorious lesbian triumph!

On another subject, one of the possible reasons that Maleficent did not just grow a new pair of wings is that her emotional anguish was not about losing her wings, but her broken heart. So far, so good; but in the final act of the film, it suddenly becomes all about the lost wings! Why the wings didn't just reattach themselves right after Stephen removed them is never explained. I guess such a question never occurred to the writers.

The fact is that this entire butchery of a story is just a prolonged piece of feminist propaganda, much like the equally twisted ""Frozen"" of recent release. All the male characters are useless at best, and otherwise selfishly and insensitively evil on average. The rampant egotism of our modern culture is obsessed with revising and reinterpreting everything in its own image and according to its own PC understanding. Thus it can learn nothing from the past and is likely to be doomed to eventually repeat all the most foolish and fatal of its mistakes.

Leave it to our current self-aggrandizing culture to take a lovely classic tale full of precious moral values and transform it into this narcissistic mess of politically correct, morally ambivalent silliness.

I cannot imagine Walt himself having anything to do with this mutilated version of his classic original. But then so much of what has come out lately is aimed merely at the politically correct, airhead segment of of society. Not worthy of serious consideration.

Spectacular FX, BTW; but that does not make up for a rotten, worthless story.",
31,jml1988,2,Does a disservice to the original Sleeping Beauty,They tried entirely too hard to inflect Satanic symbolism in this. It was too dark and demonic for me! Will not be watching the sequel.,
