No,Nama,Komentar,Rating/Rate
11,cairobaby,"I got to say, I generally don't rate visually stunning anime anywhere 
lower than 5. So this is basically me saying - I was disappointed but 
not because of the art, the art was amazing!



I think the amount of hype that this anime received was astronomically 
high. Which really might have made me felt very much confused by my 
feelings when I was watching the movie. 



I tried my hardest to love the anime. But I really couldn't. 



The thing that I didn't like about this anime the most is the 
inconsistency in the flow of the movie. The abruptness that left me 
feeling unsatisfied

          
        and could not fully invest into the characters' struggles. 



I WISH I loved it as it's one of my hobbies to watch an anime and feel 
fully invested into the story while making a connection to my feelings. 
But I didn't.



I would recommend anyone to watch it and see for yourself though, it's 
an interesting phenomenon that this movie received such high praises. 
See for yourself and judge it yourself :)",2
12,Bluekite,"Now why the score of 8 out of 10 when I've been addressing quite the heavy complaint? While the second half starts to crumble the strong start the movie has, I still enjoy and love the movie overall. The ending is satisfactory that, despite having traces of forcefulness to it, is a good change of storytelling in comparison to his previous works such as 5 Centimeters Per Second where there is no definite resolution like a happy ending. I do think that the movie deserves credit for trying to do more with its story despite being partly a failure and a success. Unlike Shinkai's previous films that tend to be overwhelmingly melancholic and distant, Kimi no Na wa assimilates the feeling of a passionate youth which I really like and find beautiful. I like the contrast of the two settings albeit I hoped for a better world-building. I kind of blame myself for having a soft spot for these kinds of coming-of-age stories. The production is great from the gorgeous visuals to the heartwarming soundtrack. I believe that Shinkai can still put out better projects given that his story writing ability has more consistency and substance to it. Whatever the consensus is, this movie will definitely leave an impact to the curious viewer.",8
13,robiu013,"With ""Your Name"" storming up to MAL's top, I had to check it out for myself and experience this phenomenon, that has a score of 9,40 out of 10 at the time of writing.
With so many people agreeing, that it's a masterpiece, it has to be good, right? Well turns out I didn't enjoy it quite as much the majority of MAL users.

Plot:
The story starts fair enough. Our main character suffers from ""Disney princess syndrome""; she's not satisfied with the surroundings she was born in and wants to see the world, that is so much bigger than what she knows. Luckily for her, magical read more",5
14,lilkraken,"I found this to ve a very emotional film and would recommend watching it. It does not waste time in trivial things (although I wonder why Mitsuha cuts her hair? And also, I don't think it was clear why Mitsuha and Taki were specifically chosen for each other...fate?). The ending is satisfying and the movie manages to keep you engaged all the way through.",9
15,AsukaLangley,"Imagine the world’s most beautiful person. We take an X-ray of that person. You see his/her spine. And that’s it, no other bones. That is a Makoto Shinkai film.

Every story has a skeletal structure, a beginning, middle, and end. We all know this. Makoto Shinkai films also have a structure to their story. Just that they’re all the same.
Beginning: I love you.
Middle: I can’t stay with you forever.
End: I hope we see each other again.

You may be asking: With such a basic structure, how can any of his films be so successful? It’s all about the flesh. read more",7
16,xthorgoldx,"Makoto Shinkai is a name that, to many, equates with “feels.” Whether it’s Voices from a Distant Star, the Children Who Chase Lost Voices, or the classic 5 Centimeters per Second, Shinkai’s films carry the guarantee of beautiful animation and emotional depth rarely seen in anime. Kimi no Na Wa, “Your Name,” is no exception to the trend. If anything, Your Name is the end product of years of experimentation with storytelling and filmmaking – the story that Shinkai has always wanted, and tried, to tell, finally made real, and done so in a satisfying, entertaining, and heart-wrenching way.

Your Name is the story of two people: Mitsuha Miyamizu, a shrine maiden in the rural Japanese countryside, and Taki Tachibana, a stock standard highschool student in Tokyo. Their irregular body-swapping isn’t the sort that leaves much of a solid mark – their memories of swaps are hazy, and they can’t exactly take notes with them, and more importantly they’ve never even met. Yet here, one of the first themes Shinkai communicates comes forward – the echoes left by a person’s life, by their actions and in the people around them, is just as good as meeting the person themselves. Mitsuha and Taki both get to learn about each other not only during their body swaps, but in seeing the aftereffects of each others’ antics while swapped, be it Taki’s boldness in her body or Mitsuha’s setting up Taki’s love life in his. Love, as told by Shinkai, is more than just affection for a person – it’s in the things we do for others and what they do for us.

The core theme of Your Name is “musubi” – a word that describes coming together and growing apart, starting a journey and reaching its conclusion, and the ebb and flow of time and fate. It is a word that, perhaps, summarizes the whole of Makoto Shinkai’s stories on the topic of love and fate – it describes the insatiable urge to find the one you’re destined to be with, as explored in Voices from a Distant Star, and likewise the unavoidable flow of time that pulls people apart and leads to new beginnings, as in 5 Centimeters per Second. The topic of musubi dominates the story of Your Name, in a manner that makes the movie both coherent in its own plot and insightful in its approach to the standard “red string of fate” story.

It is difficult to put into words exactly why Your Name resonates on the threads it does (pun intended), but it has to do with the raw elegance with which the theme of musubi is presented. It encompasses both the sappy and giddy optimism of true love winning out, and the melancholy acceptance of time moving on. It perfectly describes the “why” to the red string of fate, and why that symbol holds so much power in the mind.

Of course, it goes without saying that the fundamentals of Your Name – the animation, the voice acting, and the like – are of the top quality. The name that Shinkai has made for himself and his works in regards to raw quality is strong for a reason – Your Name does not disappoint visually, or audibly. Of particular note is the ear-orgasming soundtrack, provided by RADWIMPS, who provided both the trailer music as well as several in-film songs. Rather than simply searching for music that matched his artistic vision retroactively, Makoto Shinkai sought out RADWIMPS’ inclusion in the film from the get-go, and the result of integrating them so early into the creative process is evident every time the film’s soundtrack gets going. If nothing else, Your Name is a movie that can be watched for the music.

Your Name is, if anything, a classic Makoto Shinkai work. It is beautiful, both in visuals and in story. It tugs at the heartstrings, appealing to things that every viewer can identify with, either out of personal experience or out of desire to experience. But more than anything else, it leaves the audience satisfied, throughout its runtime and in its conclusion, with a story well told. Your Name handily takes its place as not just my favorite Shinkai film, but my favorite film entirely",10
17,Dar-Krusos,"By no means is this a bad anime, however it is far from worthy of the number one spot on MAL. The story is well-written and one of the most well-structured anime I have seen in a while, however the story itself is quite lacking in that it doesn't show enough character development. The concepts that the director have instilled in the characters are very pronounced and admirable, however it is belief that others see this as true character development. Even at the end of this show, it felt that the characters themselves were rushed and were easily predictable, making them quite cheesy (though that seems to not be something the director focused on). All in all, it IS a movie; this does not, however, mean that it is better than anime series just because it can compact many ideas.
Although the main concept of alternating lives is an intriguing one I haven't come across before, it does not make up for the rest of the story, which lacks in depth. It is good to watch as a simple, well-constructed movie, but it does not have all the characteristics required for the most astonishing and creative anime.
Verdict sentence: Over-hype.",8
18,M1KAGA,"Quite simply and with approval, I do not advise you to watch this movie unless you are crazy or a lover of Sakuga.

Drawing, animation, production and animation are more than sophisticated, making you amazed.

Change this story in the rock bottom always, a cliched scenario with a 
plot and no worse with a very horrific random application, the design of
 the characters is good but the characters are bad, one-dimensional and 
their behavior is mindless.

The romance in this movie is dirty and illogical

Simply this is a mixture of what the dirty part of the writer's imagination has produced.",3
19,ThisIsCaptain,"Story: Going into this without knowing anything about the movie; not even the trailer, I was kind of confused from the first 10-20 minutes until it became clear what was going on with their bodies. Both the MC’s come from different backgrounds, girl from a village/ small town and boy from the big city of Tokyo. Without spoiling the movie entirely, the film takes a huge turn somewhere around the middle where it becomes more than just an animated Freaky Friday.
Art: Even while watching this on medium-low quality I was amazed by how immersive read more",9
20,Selth333,"Shinkai's 2016 film Your Name stands to many as his magnum opus, but in 
2021 does it hold up? Well i'd argue it was never a good movie story 
wise. Aside from the breathtaking visuals this film lacks the characters
 and execution to make a good romance film. This film starts off poorly 
as it takes a while to even get into the main course. The first 30 
minutes seemingly feel dragged on and boring. Furthermore, the 
characters also hardly have any distinct personality or good traits... 
especially Taki.... He is primarily just a cardboard cutout meant for 
you to self insert and its gross.

          
        Mitsuha is less dull as she has a little more character 
throughout the film but it doesn't really matter because the backstory 
and character seems to amount to nothing. This films gimmick also 
doesn't seem to work due to the fact that the characters don't interact 
and are merely attracted to each other based on their lifestyle. This 
also makes for very dull and uninteresting sequences throughout the film
 as they seemingly carry no weight and merely drag on and drag. This 
film also feels rushed in some places and it's hard to tell what's going
 on sometimes. All through those negatives though there are some good 
things. For example. The great animation. That's kind of it.



Now the ending of this seems kinda.... why? I don't see what pulled at 
everyone's heartstrings... It's left open and feels unrewarding 
especially for the bad characters and drag of a story it was. At least 
give us a clear ending that doesn't leave fans and many others guessing.",3
21,ovoon7,"I rate the film with a strong 6 or a light 7. In many ways it's above average, but in the writing department I would say it is full of holes and below average. There's nothing worse to me than a super dramatic story where I don't connect with the characters and don't feel the emotions they're trying to throw at me. I'm glad other people are enjoying it, but it is very flawed in many areas.",6
22,MaryanAutumnGold,"A disappointment. Shinkai has never failed to not impress me. With characters as flat as cardboard and a story that could have been mastered by a five year old, Your name has positive ratings and that fact has baffled me to no end. I shall now proceed with my review, but I advise you to be cautious as my thoughts might offend you greatly. I shall now end this review with the generic statement almost every other reviewer has used once in their lifetime: Do not watch this.",4
23,Zerathus,"Kimi no Na wa is the new movie from acclaimed director Makoto Shinkai who’s behind 5 Centimeters per second, Hoshi no Koe and The Place Promised in Our Early Days.

His new movie tells a story about a high school student Taki and a high school student Mitsuha suddenly swapping bodies but forgetting what they did during their swap after it ends, so they begin to communicate via diaries and messages left behind by the other person.

The story of Kimi no Na Wa is simple. There are some themes but they are light. The movie however suffers from several plot holes and read more",7
24,WasdGarbonzo,"(UNPOPULAR OPINION ALERT!!!) 

I do not think this anime is the best thing ever, in fact i think its 
honestly very mediocre and underwhelming. About halfway through i 
accidentally fell asleep for about 15 minutes and missed some stuff, i 
didn't rewatch what i missed and still understood the plot (I think). 
But when i woke up there was like fireworks or something. So i was 
pretty invested because fireworks are cool, but then they all just 
fucking died???? (i think that happened, or maybe i dreamt it when i 
fell asleep) idk it was pretty boring tho. The animation was good i 
guess but

          
        i don't really care about animation. Uhhhhh... The character 
designs are pretty weird (i think the guy had a fat friend, and i like 
that because i'm kinda fat too). The voice acting was okay too. (they 
yell a lot) I like how they have a meteor because it reminds me of 
fortnite season 3 and that's cool. I also like how the main characters 
name is Taki because it reminds me of the chip Takis. (I don't like 
Takis but my friend does so thats cool.) Anyway that's my review for 
your name. Thank you for reading.
        ",5
25,alexonxanax,"When I saw the reviews and the rating that this anime has got, I was so intrigued. It's been rated much better than FMA:B or Gintama or HxH. Well, I was obviously hyped and unfortunately, this movie did NOT live up to its expectations.

Read on, but mild SPOILERS ahead:

---start of spoilers---
what irked me the most were the obvious GLARING mistakes in the plot. Both these kids exchange each others bodies and live as each other and go to each others school. Now, I dunno about you, but I remember writing dates in my notes EVERYDAY, along with the YEAR. I also always notice the year in my phone, not just the time and date of the month.
Besides, a friggin' meteor falling on a town and killing hundreds is NEWS that's gonna last friggin months along with the devastating video/photos, which is what happens after every calamity. It's ridiculous that none of the people recognised the damn scenery when that town should've been friggin' famous.
Pop culture, politicians, international events are just some of the things that change rapidly over 3, besides the softwares of your phone. Sigh.
---end of spoilers---

So in a nutshell, if you ignore the glaring inconsistencies and plot holes that really make this anime not for those who like a robust story, what you're left with is a cutesy romance story that has a mix of supernatural in it. Yea, doesn't sound spectacular now does it? I definitely wouldn't watch it a second time. The art and sound make the animation pretty good. But the story itself really fails to impress imho. The characters are also nothing special. There isn't much development of either of the two. I suppose it's silly to expect that from a two hour movie in the first place. I don't like stories that put a bit too much drama in it, and well, this one did overdo it a bit with the constant loss of memory for no reason (there was no reason why the guy had to lose memories of a meteor crash, cause it was independent of the girl anyway)
I really don't understand why this has been rated so highly. I guess the ratings will go down eventually.
Helpful",6
26,Sakkeru,"If you are well-acquainted with anime history, film, television, art, or any sort of creative thought, then I would advise you not watch this movie. At the most, I only recommend watching this after watching Ghost in The Shell, Redline, or any Miyazaki movie just so you can realize that this movie is a plague to the anime community.

The best thing that can be said about Kimi no Na wa (which if you don't immediately already think is a stupid name, I promise you will by the end of this movie) is that the animation is obviously very good. I don't think that's a great reason to watch an anime, or else we would actually just watch Pacific Rim and Transformers instead of Neon Genesis Evangelion.

The story is fine, essentially a mixture of Freaky Friday and the Notebook. I think the anime community should pay more attention to things outside of anime, and maybe movies like this wouldn't be so successful. But truthfully the story is occasionally touching and interesting. The characters are likeable, but by no means are they interesting.

The TRUE TRAGEDY of this movie is that it epitomizes what the masses criticize about anime: it's a bunch of cutesy fantastical romance to attract 13 year old girls, and if you don't wanna watch some starry-eyed J-pop montage then anime isn't for you. NO!!! If you are reading this I pray that you are here for reasons other than having your first period, and you see something special in anime that can't be found elsewhere. I don't want anime-haters (i.e. most of the entire world) to think THIS is what anime is. Yet here we are, allowing this movie to outrank 30+ years worth of incredible cinema. C'mon guys. This movie's ranking is outright disrespectful.

If despite my advice you just desperately need something that caters to the desires of anime-loving teenage girls, watch this movie. Go ahead.",5
27,Satire,"Overall, Kimi no Na wa was a very good film, though not nearly as perfect as many people, who have also seen the premiere, are claiming it to be. There are a few issues that hold the film back, but it is easily still worth two hours of anyone's time. With Makoto Shinkai creating quality works such as Your Name, it has, and will, become increasingly difficult to forget his.",8
28,tehnoobcakez,"Kimi no Na wa is an aesthetically stunning and musically breathtaking masterpiece by director Makoto Shinkai which builds upon his previous works to deliver a film which is both fulfilling and thoroughly enjoyable. Watch it if you have not done so already.

What Kimi no Na wa presents to the audience is the maturation of director Makoto Shinkai's work. Those familiar with Shinkai's previous works (for example Byousoku 5 Centimeter and Kotonoha no Niwa) should be accustomed to his tendencies of creating bittersweet and unresolved endings; love him or loathe him, Shinkai's latest work demonstrates a slight deviation from this usual style. While the finale of the film remains relatively open-ended, there are many more reasons to be optimistic for what comes after than compared to his previous works.",10
29,pickyviewer,"This movie was disappointing for me. I enjoyed the first third of it, 
and then it steadily went downhill after a specific point. I watched it 
two times, several years apart, and my opinion remains mostly unchanged.
 The movie has pretty art and colors, but the writing and characters 
fall flat. I would not watch this movie on my own accord; I had only 
rewatched it as a means to spend time with a friend who I haven’t spoken
 to in a long time.



- Story. The story has some magical/supernatural elements and time 
skipping, but it’s not difficult to follow. I think there was a

          
        missed opportunity for the movie to become a thriller, due to 
the incremental revelations of the time skipping phenomenon and the 
tragedy that the two main characters try to prevent. Furthermore, there 
needed to be clearer development of two critical aspects for the plot: 
the romantic relationship between the two main characters and buy-in of 
several characters to engage in what is essentially domestic terrorism.



- Characters. The main characters are kind of bland. I think the supporting cast are a little more interesting. 



I don’t have an issue with Mitsuha’s more muted or serious personality, 
but she doesn’t really have more dimension when she is interacting with 
her friends. She is somewhat mischievous when interacting with Taki. 



With Taki, he also acts more serious but the audience is again told by 
another character, not shown, that he is supposedly hot headed. I can 
recall only one scene that actually depicted that part of this 
personality. Another character later tells us that Taki has changed, but
 I don’t see the point in making this statement if there was not a clear
 standard to compare his personality to in the first place.



- Art. Pretty lineart, gorgeous colors, great art and style direction. 



- Animation. Beautiful.



- Music. The actual background music was unmemorable, but the songs with
 lyrics used at several points were really nice. However, I do not have 
an emotional connection to the songs - so they are simply pretty to me. 



- Sound design. Also largely unmemorable, if not for a few well timed suzu bell chimes. 



- Writing. 



To elaborate on what I mentioned in the Story section, the romance was 
really out of place to me. In fact, I think the director was aware of 
this which is why supporting characters had to TELL us that the one of 
the main characters is in love with someone else leading up to the 
confession. There was definitely an entire montage showing the 
development of a close platonic relationship. I would have preferred if 
it stayed that way and hinted at the start of a romance at the very end.
 Not only would it have made more sense, but it would have also been 
thematically appropriate. It wouldn’t have detracted from the plot 
either; you can indeed care deeply about someone without falling in love
 with them. There was even a scene of unconscious realization of love 
that I thought was stupid. Maybe instead of having a character cry and 
wonder about it, they could have spent that time showing them blushing 
at something the other character wrote to them. Even one instance of 
this would have been more sensible than none. I don’t buy the angle 
“it’s a movie, so they don’t have enough time to show development”. Yes 
they can. Maybe remove one of three scenes in which one of the main 
characters is groping boobs and replace it with actual character 
development. It’s not that hard! 



Next, one of the main characters basically has to convince their friends
 to destroy public property in order to prevent the tragedy that only 
the main character knows is going to happen. One friend straight up says
 that’s a crime… and then casually goes along with it? The other friend 
was built up to believe in conspiracy theories, but was not provided any
 convincing evidence to readily agree to committing domestic terrorism 
and potentially damaging the reputation of his father’s company. There 
was even a lighthearted montage leading up to the plan.



Furthermore, I was not a fan of the cringy dialogue between Taki and 
Mitsuha. There is a key scene in which they are supposed to have a 
quirky teenager conversation highlighting their relationship. Instead, 
it comes off as jarring and inappropriate for the time and place, 
considering the tragedy is about to occur and they are bantering about 
groping boobs.  



- Emotional impact. I laughed two times, once because something was 
stupid and the other time I thought something was genuinely funny. I was
 either neutral or negative (thinking “this is 
stupid/necessary/nonsensical"") towards everything else. The movie lacked
 true catharsis or buildup. I think the only great cut was in the first 
third of the movie before the first song started playing. For the 
reasons discussed in the Writing section, I felt nothing during the 
scene that is commonly regarded as the most emotional point of the 
movie. The reaction that the film wanted to elicit from me was not 
justified.
        ",4
30,elmonosuke,"Have you ever watched a Cristopher Nolan movie? This is what you'll find
 with Kimi no Na Wa. A beautiful, but, yet empty movie, which hides how 
dreadful it is overall behind the fact that it's so beautiful.



The character development is inexistent, as with all Makoto Shinkai 
works, so as the reasoning of them, that should be the thing that drives
 the plot forward.



You can't actually relate with the characters, since the astonishing 
environment makes you think they're not having any issues at all.



Unless you're in a web-relationship and REALLY needs this to make a statement for you ""lover"", this is not for you. 



Props

          
        to the studio and the ost, which is the real reason this movie is a huge hit.",2
31,Trolls_Bane,"I can see what all the hype is about, it was a meticulously put-together film, the imagery exceeds expectations although I didn't quite like the montage bits. It is beyond amazing to see how a poor and confusing concept can be so well-executed. I might have enjoyed it more if it wasn't so universally acclaimed but I am not sure, the story is really beyond awful. The characters mediocre. I guess it's really what you are looking for in a film because the animations, the atmosphere, really makes you forget all of its flaws almost instantly.",6
